Origin code,Origin name
PKU10000,PEKANBARU
PKU10100,"DUMAI, KOTA DUMAI"
PKU20100,"BANGKINANG, KAB KAMPAR"
PKU20101,"KAMPAR,BANGKINANG"
PKU20112,"BANGKINANG BARAT,BANGKINANG"
PKU20113,BANGKINANG SEBERANG
PKU20114,"GUNUNG SAHILAN, BANGKINANG"
PKU20119,"PERHENTIAN RAJA, BANGKINANG"
PKU20123,"TAPUNG, BANGKINANG"
PKU20124,"TAPUNG HILIR, BANGKINANG"
PKU20200,"BENGKALIS, KAB BENGKALIS"
PKU20217,"DURI-MANDAU,BENGKALIS"
PKU20300,"RENGAT, KAB INDRAGIRI HULU"
PKU20305,"PASIR PENYU,RENGAT"
PKU20307,"SIBERIDA,RENGAT"
PKU20400,"TEMBILAHAN, INDRAGIRI HILIR"
PKU20412,"KEMUNING, TEMBILAHAN"
PKU20414,"PULAU BURUNG, TEMBILAHAN"
PKU20500,"BAGANSIAPIAPI, KAB ROKAN HILIR"
PKU20506,"TANAH PUTIH, KAB ROKAN HILIR"
PKU20507,"BAGAN SINEMBAH, ROKAN"
PKU20509,"BANGKO PUSAKO, KAB ROKAN HILIR"
PKU20900,TELUK KUANTAN
PKU21000,"PANGKALAN KERINCI,PALALAWAN"
PKU21009,"UKUI,KAB.PALALAWAN"
PKU21011,"SOREK, KAB PELALAWAN"
PKU21012,"BANDAR SEI KIJANG,PELALAWAN"
PKU21100,PASIR PANGARAIAN
PKU21104,"KUNTODARUSSALAM,P.PANGARAIAN"
PKU21109,"TANDUN,PASIR PANGARAIAN"
PKU21112,"UJUNGBATU,PASIR PANGARAIAN"
PKU21113,"TAMBUSAI UTARA,ROKAN HULU"
PKU21115,"PENDALIAN V KOTO,ROKAN HULU"
PKU21204,"KANDIS,SIAKSRIINDAPURA"
PKU21206,"KOTO GASIP,SIAKSRIINDAPURA"
PKU21208,"MINAS,SIAKSRIINDAPURA"
PKU21209,SIAK
PKU21212,"TUALANG,SIAKSRIINDAPURA"
PKU21301,"SELAT PANJANG, KAB MERANTI"
PKY10000,PALANGKARAYA
PKY20200,"KASONGAN,KAB.KATINGAN"
PKY20300,KUALAKAPUAS
PKY20400,"KURUN,KAB.GUNUNG MAS"
PKY20500,KUALA PEMBUANG
PKY20700,PANGKALANBUN
PKY20800,SAMPIT
PKY20806,"PARENGGEAN,SAMPIT"
PKY21300,"SUKAMARA,KAB.SUKAMARA"
PLM10000,PALEMBANG
PLM10300,"MUARA BELITI BARU, MUSI RAWAS"
PLM10315,"TUGUMULYO,MUARA BELITI BARU"
PLM20100,BATURAJA
PLM20122,LUBUK RAJA KAB.OGAN KOMERING ULU
PLM20200,"KAYUAGUNG,KAB.OGAN KOMERING"
PLM20211,"TULUNG SELAPAN,KAYUAGUNG"
PLM20300,"LAHAT,KAB.LAHAT"
PLM20326,MERAPI BARAT KAB.LAHAT
PLM20500,"MUARAENIM,KAB.MUARAENIM"
PLM20503,"TANJUNGAGUNG,MUARAENIM"
PLM20505,"REMBANG DANGKU,MUARA ENIM"
PLM20508,"LAWANG KIDUL - TJ.ENIM,MR ENIM"
PLM20511,"PENUKAL ABAB,MUARA ENIM"
PLM20513,"SEMENDE DARAT LAUT,MUARA ENIM"
PLM20517,"TALANG UBI,MUARA ENIM"
PLM20518,"TANAH ABANG,MUARA ENIM"
PLM20519,"UJAN MAS,MUARA ENIM"
PLM20600,PAGARALAM
PLM20700,PRABUMULIH
PLM20800,"SEKAYU,KAB.MUSI BANYUASIN"
PLM20805,"BAYUNG LINCIR,SEKAYU"
PLM20806,"SUNGAI LILIN,SEKAYU"
PLM20819,"SANGA DESA,SEKAYU"
PLM21000,"PANGKALANBALAI,KAB.BANYUASIN"
PLM21001,"BANYUASIN I,PANGKALANBALAI"
PLM21005,"BETUNG,PANGKALANBALAI"
PLM21011,"TALANGKELAPA,PANGKALANBALAI"
PLM21100,"TEBING TINGGI,KAB.EMPAT LAWANG"
PLM21300,"INDRALAYA,KAB.OGAN ILIR"
PLM21400,"MARTAPURA,KAB.OGAN KOMERING"
PLM21401,"BELITANG, MARTAPURA"
PLM21500,"MUARADUA,KAB.OGAN KOMERING ULU"
PLM21600,LUBUK LINGGAU
PLW10000,PALU
PLW20100,"LUWUK,KAB.BANGGAI"
